Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length
measurements.4.8 on -9->040,145.13340759277344,-36.02330017089844,14.796099662780762,148.21609497070312,-32.4718017578125,15.554499626159668,40.95785903930664,-9.161049842834473,4.763535976409912
measurements.5.7 on -13->038,144.6595001220703,-36.046199798583984,15.897899627685547,148.1042022705078,-31.70159912109375,17.18600082397461,38.40983200073242,-13.078967094421387,5.692163944244385
measurements.2.8 on -11->036,145.7689971923828,-35.005001068115234,13.290499687194824,147.39840698242188,-32.82699966430664,13.862000465393066,36.80095672607422,-11.865628242492676,2.7794387340545654
measurements.1.5 on -14->035,144.62899780273438,-35.773799896240234,16.37299919128418,145.47219848632812,-34.58639907836914,16.739900588989258,35.37943649291992,-14.140543937683105,1.5018404722213745
measurements.2.2 on -14->033,142.722900390625,-35.34749984741211,20.05120086669922,143.8950958251953,-33.54389953613281,20.590299606323242,33.020633697509766,-14.069721221923828,2.217576026916504
